City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,kirakira,-10.4544,161.9205,85.87,70,85,7.4,SB,1671592414
148,cabedelo,-6.9811,-34.8339,79.47,75,6,7.65,BR,1671592244
149,saint-joseph,-21.3667,55.6167,75.58,80,95,3.85,RE,1671592415
150,rabak,13.1809,32.74,73.44,33,5,10.87,SD,1671592416
151,bejar,40.3864,-5.7634,47.57,98,100,7.49,ES,1671592271
152,alofi,-19.0595,-169.9187,84.09,65,75,10.36,NU,1671592417
153,changping,40.2186,116.2197,26.24,29,99,2.17,CN,1671592418
154,krasnovishersk,60.4078,57.082,-11.65,100,92,3.09,RU,1671592419
155,narsaq,60.9167,-46.05,8.82,61,0,9.04,GL,1671592419
156,port blair,11.6667,92.75,84.24,70,40,8.05,IN,1671592420
157,imbituba,-28.24,-48.6703,71.85,89,80,5.19,BR,1671592420
158,georgetown,5.4112,100.3354,82.89,80,20,6.91,MY,1671592301
159,thompson,55.7435,-97.8558,-3.3,91,100,9.82,CA,1671592421
160,sur,22.5667,59.5289,72.48,54,0,5.5,OM,1671592422
161,bytosh,53.8186,34.0912,27.88,98,100,3.53,RU,1671592422
162,tuscaloosa,33.2098,-87.5692,44.56,93,100,9.22,US,1671592423
163,hasaki,35.7333,140.8333,50.29,62,100,4.88,JP,1671592424
164,san bartolome de tirajana,27.9248,-15.5733,61.32,27,0,8.05,ES,1671592424
165,sobolevo,54.4299,31.8996,31.82,99,100,5.95,RU,1671592425
166,sala consilina,40.3912,15.5989,37.38,82,65,2.08,IT,1671592425
167,morro bay,35.3658,-120.8499,56.77,75,52,1.01,US,1671592222
168,back mountain,41.3359,-75.9963,23.81,91,59,1.34,US,1671592427
169,ikongo,-21.8833,47.4333,71.91,97,98,2.89,MG,1671592428
170,luanda,-8.8368,13.2343,77.0,78,75,1.14,AO,1671592428
171,niksic,42.7731,18.9445,28.26,55,17,1.68,ME,1671592429
172,luderitz,-26.6481,15.1594,63.27,79,0,9.01,NA,1671592429
173,plouzane,48.3833,-4.6167,51.85,90,100,14.97,FR,1671592430
174,saint-augustin,51.226,-58.6502,26.11,82,41,11.12,CA,1671592431
175,nanortalik,60.1432,-45.2371,21.18,51,1,5.59,GL,1671592432
176,codrington,-38.2667,141.9667,79.95,30,100,9.28,AU,1671592432
177,khani,41.9563,42.9566,35.17,81,21,5.01,GE,1671592433
178,charleston,32.7766,-79.9309,40.1,96,100,12.66,US,1671592380
179,cherskiy,68.75,161.3,18.07,74,11,7.07,RU,1671592434
180,esperance,-33.8667,121.9,70.83,58,17,12.84,AU,1671592241
181,ambilobe,-13.2,49.05,74.98,88,94,1.74,MG,1671592435
182,villazon,-22.0866,-65.5942,50.47,66,48,13.13,BO,1671592435
183,timmins,48.4669,-81.3331,16.23,83,80,10.09,CA,1671592436
